product,category,brand,sale_price,rating,description
Kurkure Masala Munch,Snacks & Branded Foods,Kurkure,20,4.0,Spicy masala flavored corn puffs with tangy taste that keeps you coming back for more
Act II Instant Butter Popcorn,Snacks & Branded Foods,Act II,45,4.2,Microwave ready butter flavored popcorn that pops in minutes for a perfect movie snack
Bikano Chana Chur,Snacks & Branded Foods,Bikano,55,4.1,Crispy spiced chickpea mixture with traditional Indian spices and herbs
India Gate Classic Basmati Rice,Foodgrains; Oil & Masala,India Gate,249,4.5,Premium aged basmati rice with long and slender grains and rich aroma
Fortune Refined Sunflower Oil,Foodgrains; Oil & Masala,Fortune,199,4.2,Refined sunflower oil for everyday cooking with light taste and high smoke point
MDH Garam Masala,Foodgrains; Oil & Masala,MDH,65,4.4,Authentic blend of 14 aromatic spices for perfect Indian curries and gravies
Aashirvaad Whole Wheat Atta,Foodgrains; Oil & Masala,Aashirvaad,289,4.5,Whole wheat flour made from superior MP wheat with natural fibre and goodness
Tata Salt Iodised,Foodgrains; Oil & Masala,Tata,25,4.6,Pure iodised vacuum evaporated salt with free flow formula
Everest Rajma Masala,Foodgrains; Oil & Masala,Everest,55,4.3,Ready spice blend for kidney bean curry with perfect blend of whole spices
Patanjali Cow Ghee,Foodgrains; Oil & Masala,Patanjali,499,4.4,Pure cow ghee made from fresh cow milk with traditional churning method
Nescafe Classic Instant Coffee,Beverages,Nescafe,149,4.3,Rich and aromatic instant coffee made from 100 percent pure coffee beans
Tetley Pure Green Tea,Beverages,Tetley,199,4.1,Natural green tea bags for health and wellness packed with antioxidants
Tropicana 100% Orange Juice,Beverages,Tropicana,99,4.2,100 percent pure squeezed orange juice with no added sugar or preservatives
Red Bull Energy Drink,Beverages,Red Bull,125,4.0,Original energy drink with taurine caffeine and B vitamins for mental and physical stimulation
Bisleri Mineral Water 1 Litre,Beverages,Bisleri,20,4.5,Pure and safe mineral water packed from natural springs with essential minerals
Horlicks Classic Malt Drink,Beverages,Horlicks,249,4.4,Health and nutrition drink for the whole family with 23 essential nutrients
Paperboat Aamras,Beverages,Paperboat,35,4.3,Traditional Indian mango drink made from Alphonso mangoes with no artificial colour
Amul Pasteurised Butter,Bakery; Cakes & Dairy,Amul,55,4.6,Pasteurised butter made from fresh cream with rich flavour for cooking and spreading
Mother Dairy Full Cream Milk 1L,Bakery; Cakes & Dairy,Mother Dairy,60,4.4,Fresh full cream milk with 6 percent fat packed and delivered fresh daily
Britannia Cheese Slices,Bakery; Cakes & Dairy,Britannia,110,4.2,Processed cheese slices made from natural cheese perfect for sandwiches and burgers
English Oven White Sandwich Bread,Bakery; Cakes & Dairy,English Oven,45,4.1,Soft and fresh white sandwich bread baked fresh daily with no artificial preservatives
Epigamia Greek Yogurt Natural,Bakery; Cakes & Dairy,Epigamia,79,4.3,Thick and creamy natural Greek yogurt with high protein and no added sugar
Amul Taaza Toned Milk 500ml,Bakery; Cakes & Dairy,Amul,25,4.5,Fresh toned milk with 3 percent fat content pasteurised and homogenised for purity
Pampers Active Baby Taped Diapers,Baby Care,Pampers,499,4.4,Keeps baby dry for up to 12 hours with soft cottony feel and wetness indicator
Johnson's Baby Lotion,Baby Care,Johnson's,149,4.5,Clinically proven mild baby lotion with no tears formula gentle on delicate baby skin
Nestle Cerelac Wheat Rice Stage 2,Baby Care,Nestle,189,4.3,Wheat and rice cereal for babies from 6 months with essential vitamins and minerals
Himalaya Gentle Baby Wash,Baby Care,Himalaya,129,4.4,Gentle soap free baby wash with natural plant extracts no parabens or harsh chemicals
Mee Mee Baby Wipes,Baby Care,Mee Mee,99,4.2,Gentle moisturising baby wipes with aloe vera extract safe for newborns
Dabur Lal Tail Baby Oil,Baby Care,Dabur,89,4.3,Traditional ayurvedic baby massage oil with 9 herbal ingredients for strong bones and muscles
Fresh Ripe Bananas,Fruits & Vegetables,Fresh,49,4.3,Ripe sweet yellow bananas rich in potassium and natural energy great for breakfast or snacking
Organic Red Tomatoes,Fruits & Vegetables,Organic Tattva,35,4.1,Organically grown fresh red tomatoes free from pesticides and chemicals
Fresh Green Spinach Bunch,Fruits & Vegetables,Fresh,25,4.2,Farm fresh green spinach leaves packed with iron vitamins and minerals
Red Shimla Apples,Fruits & Vegetables,Fresh,120,4.4,Crisp and sweet Shimla apples with bright red skin rich in fibre and antioxidants
Sweet Potatoes,Fruits & Vegetables,Fresh,55,4.0,Naturally sweet and nutritious sweet potatoes good source of vitamins A and C
Fresh Broccoli Head,Fruits & Vegetables,Fresh,75,4.2,Fresh green broccoli florets rich in vitamins C and K and dietary fibre
White Onions 1kg,Fruits & Vegetables,Fresh,35,4.1,Fresh white onions essential for Indian cooking with pungent flavour and crisp texture
Farm Fresh White Eggs 6 Pack,Eggs; Meat & Fish,Eggoz,65,4.4,Farm fresh white eggs from free range hens rich in protein and essential amino acids
Chicken Breast Boneless,Eggs; Meat & Fish,Fresh,249,4.2,Fresh boneless skinless chicken breast for healthy low fat protein rich cooking
Medium Prawns Cleaned,Eggs; Meat & Fish,Fresh,349,4.1,Fresh medium size prawns cleaned and deveined ready to cook
Atlantic Salmon Fillet,Eggs; Meat & Fish,Fresh,599,4.3,Fresh Atlantic salmon fillet rich in omega 3 fatty acids and high quality protein
Mutton Curry Cut,Eggs; Meat & Fish,Fresh,549,4.0,Fresh mutton pieces cut specifically for curry cooking with bone in pieces for rich flavour
Tuna Chunks in Brine,Eggs; Meat & Fish,Tasty Nibbles,89,4.2,Canned tuna chunks in brine high in protein and omega 3 ideal for sandwiches and salads
